# OP-6 / M3-a block-RG bond-form test of H_1 in 1D
# N = 4096, lam = 1.0, J = 1.0
# beta_list = [0.3, 0.5, 0.7, 1.0, 1.5, 2.0, 3.0]
# m2_list = [-1.0, 0.0, 1.0, 2.0, 3.0]
# block_sizes = [1, 2, 4, 8, 16]

# Block size B = 1
# beta   m2      <Phi_B>   chi_B     xi2_B     K_B       K_err
  1.0000e+00  3.0000e+00  3.0764e-01         nan         nan         nan         nan
  1.5000e+00  -1.0000e+00  2.7562e+00  4.0891e-01  1.5208e+02  3.7192e+02  1.5734e+02
  1.5000e+00  0.0000e+00  1.5368e+00  4.3759e-01  1.1702e+02  2.6742e+02  1.4693e+02
  1.5000e+00  1.0000e+00  6.2662e-01         nan         nan         nan         nan
  1.5000e+00  2.0000e+00  3.3293e-01         nan         nan         nan         nan
  1.5000e+00  3.0000e+00  2.2234e-01  2.4703e-02  3.1787e+00  1.2867e+02  8.7482e+02
  2.0000e+00  -1.0000e+00  2.8018e+00         nan         nan         nan         nan
  2.0000e+00  0.0000e+00  1.7151e+00  3.2453e-01  6.5239e+01  2.0103e+02  1.6357e+02
  2.0000e+00  1.0000e+00  6.1218e-01         nan         nan         nan         nan
  2.0000e+00  2.0000e+00  2.7760e-01  4.0849e-02  5.2376e+01  1.2822e+03  7.8671e+02
  2.0000e+00  3.0000e+00  1.7540e-01  1.5718e-02  1.7757e+01  1.1297e+03  3.2403e+03
  3.0000e+00  -1.0000e+00  2.8459e+00         nan         nan         nan         nan
  3.0000e+00  0.0000e+00  1.8262e+00  2.0124e-01  1.2099e+02  6.0122e+02  3.9989e+02
  3.0000e+00  1.0000e+00  6.5060e-01  1.6401e-01  2.0550e+01  1.2529e+02  2.2943e+02
  3.0000e+00  2.0000e+00  2.1307e-01         nan         nan         nan         nan
  3.0000e+00  3.0000e+00  1.2423e-01  8.3475e-03  2.1280e+00  2.5493e+02  1.9027e+03
# B = 4 fit: K_B = 1.6044e+02 * <Phi_B>^-0.5316 ± 0.2697  (n = 20)

# Block size B = 8
# beta   m2      <Phi_B>   chi_B     xi2_B     K_B       K_err
  3.0000e-01  -1.0000e+00  1.9741e+00  5.2014e-01  1.9442e+01  3.7378e+01  2.3434e+01
  3.0000e-01  0.0000e+00  1.4717e+00  3.3648e-01  1.2460e+01  3.7031e+01  2.7409e+01
  3.0000e-01  1.0000e+00  1.1383e+00  2.2770e-01  1.3163e+00  5.7810e+00  2.0784e+01
  3.0000e-01  2.0000e+00  9.1015e-01         nan         nan         nan         nan
  3.0000e-01  3.0000e+00  7.4960e-01  1.1892e-01  2.4211e+01  2.0358e+02  7.1219e+01
  5.0000e-01  -1.0000e+00  2.0196e+00         nan         nan         nan         nan
  5.0000e-01  0.0000e+00  1.3021e+00         nan         nan         nan         nan
  5.0000e-01  1.0000e+00  8.9869e-01         nan         nan         nan         nan
  5.0000e-01  2.0000e+00  6.6507e-01  8.9567e-02  4.4619e+00  4.9817e+01  1.2902e+02
  5.0000e-01  3.0000e+00  5.2028e-01  5.8953e-02  1.5949e+01  2.7054e+02  9.1237e+01
  7.0000e-01  -1.0000e+00  2.2265e+00  4.2235e-01  1.1206e+01  2.6533e+01  2.8286e+01
  7.0000e-01  0.0000e+00  1.2687e+00  2.5386e-01  4.3184e+00  1.7011e+01  1.5698e+01
