cycle,category,l1_count,l2_count,folder_status,date,verdict,evidence_l1,evidence_l2
op-tau3-substrate-clock-acceleration,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-tensor-modes-Phi-FUTURE,STRUCTURAL_OR_OTHER,0,0,parking,2026-05-07,?,,
op-theta-quark-koide,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-upsilon1-closure-cross-family,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-uv-as-ngfp,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-uv2-mtgp-absolute-scale,STRUCTURAL_OR_OTHER,0,0,needs-bridge,2026-05-03,?,,
op-uv3-phi0-renormalization,STRUCTURAL_OR_OTHER,0,0,closed-resolved,2026-05-02,?,,
op-V-canonical-consistency-audit-2026-05-09,STRUCTURAL_OR_OTHER,0,0,closed-resolved,2026-05-09,?,,
op-V-M911-psi-profile-near-degenerate-2026-05-10,STRUCTURAL_OR_OTHER,0,0,closed-resolved,2026-05-10,?,,
op-xi-photon-ring,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-xi2-sterile-nu-5sector,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-zeta-mass-spectrum,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op1-op2-op4,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op6,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op7,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
particle_sector_closure,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
qm_born_rule,STRUCTURAL_OR_OTHER,0,0,needs-bridge,2026-05-03,?,,
qm_decoherence,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
qm_entanglement,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
qm_foundations,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
qm_measurement,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
qm_spin,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
qm_statistics,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
qm_superposition,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
rho_normal_state_closure,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
s8_tension,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
superconductivity_closure,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
thermal_transport_molecular,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
uv_completion,STRUCTURAL_OR_OTHER,0,0,needs-bridge,2026-05-03,?,,
